item_id,item_name,category,description,base_price
212,Fajitas,Mexican Dinner,"Sautéed peppers, onion, served with rice, homemade black beans, guacamole, sour cream, corn tortillas or flour tortillas.",25.95
213,"Steak or Shrimp a la Mexicana",Mexican Dinner,"Hanger steak or shrimp served with sauteed, fresh jalapeños, onions & tomatoes. Served with rice & homemade black beans, with corn tortillas or flour tortillas on the side.",29.95
214,Pollo a la Brasa,Mexican Dinner,"2 pieces marinated grilled chicken or breaded. Served with rice, beans, guacamole & salsa verde. Served with 3 soft corn tortillas, roasted jalapeño & queso fresco.",24.95
215,Carne Asada,Mexican Dinner,"New York steak served with rice, beans, guacamole, roasted jalapeños, queso fresco & three corn tortillas.",29.95
216,Aguas Frescas,Mexican Beverages,"Choice of Pineapple or Melon.",5.50
217,Jarritos Mexican Soda,Mexican Beverages,"Choice of Fruit Punch, Tamarind, Grapefruit & Lime.",4.95
218,Mexican Coke,Mexican Beverages,"Coke imported from Mexico.",4.95
301,Two Eggs Any Style,"Eggs & Omelettes","Served with home fries, steak fries, hash brown, rice or black beans & toast.",12.75
302,Pastrami Omelette,"Eggs & Omelettes","Served with sides and toast.",15.75
303,Cheese Omelette,"Eggs & Omelettes","Choice of Mozzarella, Cheddar, Swiss or American. Served with sides and toast.",14.75
304,Broccoli Omelette,"Eggs & Omelettes","Served with sides and toast.",14.75
305,Pastrami Swiss Omelette,"Eggs & Omelettes","Served with sides and toast.",17.00
306,"Chili & Cheddar Omelette","Eggs & Omelettes","Served with sides and toast.",16.75
307,Mushroom Cheese Omelette,"Eggs & Omelettes","Served with sides and toast.",16.25
308,Ham Cheese Omelette,"Eggs & Omelettes","Served with sides and toast.",17.00
309,"Spinach & Feta Omelette","Eggs & Omelettes","Served with sides and toast.",15.75
310,Italian Omelette,"Eggs & Omelettes","Sausage, onions, mozzarella & marinara sauce. Served with sides and toast.",18.00
311,Mexican Omelette,"Eggs & Omelettes","Jalapeño, onions & tomato. Served with sides and toast.",16.00
312,Terrace Omelette,"Eggs & Omelettes","Guacamole, mozzarella, chopped bacon & sour cream. Served with tortilla chips & black beans.",18.00
313,Garden Omelette,"Eggs & Omelettes","Spinach, mushrooms, onions, peppers & tomatoes. Served with sides and toast.",16.45
314,Greek Omelette,"Eggs & Omelettes","Feta, tomato & onion. Served with sides and toast.",16.75
315,Cabo Omelette,"Eggs & Omelettes","Black beans, avocado, onions, tomatoes & cheddar cheese. Served with sides and toast.",18.75
316,Jalapeño Omelette,"Eggs & Omelettes","Jalapeño, bacon, potatoes, peppers & onions. Served with sides and toast.",17.45
317,Windsor Omelette,"Eggs & Omelettes","Fresh turkey, avocado & tomato. Served with sides and toast.",18.45
318,Vandervilt Omelette,"Eggs & Omelettes","Avocado, American cheese, tomato & onion. Served with sides and toast.",18.45
319,Greenwood Omelette,"Eggs & Omelettes","Avocado, turkey bacon & jalapeños. Served with sides and toast.",18.45
320,Protein Omelette,"Eggs & Omelettes","Bacon, ham, sausage & American cheese. Served with sides and toast.",19.25
321,Leo Omelette,"Eggs & Omelettes","Nova lox & sauteed onions. Served with sides and toast.",19.75
322,Western Omelette,"Eggs & Omelettes","Ham, pepper & onions. Served with sides and toast.",17.45
323,California Omelette,"Eggs & Omelettes","Avocado, tomato, olives, bacon & cheddar cheese. Served with sides and toast.",18.45
324,"Corned Beef Hash & Eggs","Eggs & Omelettes","Served with sides and toast.",17.00
325,Breakfast Burrito Pier #1,Breakfast Burritos,"3 scrambled eggs with avocado, rice, beans, salsa verde & feta cheese.",14.75
326,Breakfast Burrito Pier #2,Breakfast Burritos,"Scrambled eggs with chorizo, potatoes, rice, beans & jalapeño.",16.00
327,Breakfast Burrito Pier #3,Breakfast Burritos,"3 scrambled eggs with tomatoes, onions, fresh jalapeños, rice & beans.",15.00
328,Breakfast Burrito Pier #4,Breakfast Burritos,"3 scrambled eggs with American cheese, avocado, rice, beans & chipotle sauce.",15.00
329,Breakfast Burrito Pier #5,Breakfast Burritos,"3 scrambled eggs with jalapeño peppers, avocado, cheese, rice & beans.",15.25
330,Breakfast Burrito Pier #6,Breakfast Burritos,"3 scrambled eggs with fried onions, thinly slice steak, rice, beans & chipotle sauce.",16.00
331,Western Wrap,Breakfast Wraps,"Made with 3 eggs. Green peppers, onions, ham & American cheese.",13.75
332,"R.B.G. Wrap",Breakfast Wraps,"Made with 3 eggs. Roast beef, fried onion, eggs, cheddar & chipotle mayo.",15.00
333,American Wrap,Breakfast Wraps,"Made with 3 eggs. Scrambled eggs, American cheese with bacon, ham or sausage.",12.00
334,Terrace Wrap,Breakfast Wraps,"Made with 3 eggs. Scrambled eggs, bacon, avocado, American cheese & tomato.",15.25
335,Healthy Wrap,Breakfast Wraps,"Made with 3 eggs. Eggs whites, turkey bacon, tomato & swiss cheese.",15.45
336,Windsor Wrap,Breakfast Wraps,"Made with 3 eggs. Eggs, feta, tomatoes & fresh jalapeño.",14.75
337,Super Healthy Wrap,Breakfast Wraps,"Made with 3 eggs. Egg whites, turkey bacon, tomato, avocado, fresh spinach leaves, & swiss cheese.",16.45
338,Greenwood Wrap,Breakfast Wraps,"Made with 3 eggs. Scrambled eggs, sausage, American cheese, avocado, hash brown & jalapeño.",16.00
339,Vandervilt Wrap,Breakfast Wraps,"Made with 3 eggs. 2 scrambled eggs, homemade chorizo, hash brown, American cheese & avocado.",16.45
340,Seeley Wrap,Breakfast Wraps,"Made with 3 eggs. Scrambled eggs, sausage, avocado, American cheese, fried onions, black beans & jalapeño.",16.45
341,5 Ave Wrap,Breakfast Wraps,"Made with 3 eggs. Scrambled eggs, bacon, American cheese, avocado, potatoes & salsa verde.",15.75
342,Terrace Acai Bowl,"Bowls & Yogurt","Acai, strawberries, blueberries & granola.",16.00
343,"Granola, Greek Yogurt & Fruit","Bowls & Yogurt","Served with honey, granola & seasonal fruit.",14.00
344,Hot Oatmeal,"Bowls & Yogurt","Hot oatmeal cereal.",8.00
401,American Croissant,Croissant Sandwiches,"2 scrambled eggs with American cheese and choice of meat.",13.25
402,Healthy Croissant,Croissant Sandwiches,"Egg whites, avocado, tomato, spinach leaves & swiss cheese.",16.25
403,Tasty Croissant,Croissant Sandwiches,"2 scrambled eggs, homemade chorizo, American cheese, avocado & black beans.",16.25
404,Seeley Croissant,Croissant Sandwiches,"2 scrambled eggs, American cheese, avocado, tomatoes, red onion, hash browns & chipotle mayonnaise.",16.25
405,Super Healthy Croissant,Croissant Sandwiches,"3 egg whites, fresh sliced turkey, avocado, tomatoes, swiss cheese & fresh spinach.",17.25
406,Windsor Croissant,Croissant Sandwiches,"2 scrambled eggs, breaded chicken, avocado, American cheese, red onion & chipotle mayonnaise.",18.25
407,Windsor Breakfast Sandwich,Breakfast Sandwiches,"2 scrambled eggs with avocado on a home made brioche bun.",12.25
408,Greenwood Breakfast Sandwich,Breakfast Sandwiches,"Scrambled eggs, sausage, American cheese, hash brown, on English muffin.",12.45
409,Terrace Breakfast Sandwich,Breakfast Sandwiches,"Scrambled eggs with avocado, cheddar cheese & chipotle mayo on a toasted English muffin.",12.45
410,"Egg Sandwich (Fried or Scrambled)",Egg Sandwiches,"Made with (2) eggs on your choice of bread: roll, white, whole wheat or multigrain toast.",6.45
411,Western Egg Sandwich,Egg Sandwiches,"2 eggs with ham, peppers, and onions on choice of bread.",10.00
412,Bagel All The Way,"Bagels & Muffins","Bagel with lox, cream cheese, olives, onions, lettuce, tomato & capers.",19.00
413,"Bagel with Cream Cheese, Peanut Butter or Nutella","Bagels & Muffins","Toasted bagel with choice of spread.",5.45
414,Brooklyn Bagel,"Bagels & Muffins","Bacon, cream cheese, tomato & black pepper.",13.45
415,"Bagel with Lox & Cream Cheese","Bagels & Muffins","Toasted bagel with nova lox and cream cheese.",14.45
416,"English Muffin, Bagel, Croissant, Toast or Roll","Bagels & Muffins","Toasted and served with butter.",4.25
417,Muffin,"Bagels & Muffins","Choice of Blueberry, Corn, or Chocolate Chip Muffin.",4.75
418,Espresso,Espresso,"Single shot of espresso.",5.00
419,Cappuccino,Espresso,"Espresso with steamed milk foam.",6.50
420,Mochaccino,Espresso,"Cappuccino with chocolate.",7.25
421,Double Espresso,Espresso,"Double shot of espresso.",5.75
422,Affogato,Espresso,"Espresso & vanilla ice cream.",7.25
423,Latte,Espresso,"Espresso with steamed milk.",5.95
424,Iced Cappuccino,Espresso,"Iced espresso with steamed milk foam.",7.00
425,Iced Mochaccino,Espresso,"Iced cappuccino with chocolate.",7.75
426,Iced Latte,Espresso,"Iced espresso with steamed milk.",6.75
427,Ice Caramel Mocha,Espresso,"Espresso, caramel & mocha.",8.00
428,Iced Espresso,Espresso,"Iced shot of espresso.",5.75
501,"Waffles, Pancakes or Challah French Toast","Pancakes & French Toast","Your choice of Waffles, Pancakes or Homemade Challah French Toast.",12.75
502,"Silver Dollars (10)","Pancakes & French Toast","10 small pancakes.",13.25
503,"Old Fashion French Toast (3)","Pancakes & French Toast","3 slices of classic french toast.",13.25
504,"Cinnamon Raisin French Toast (3)","Pancakes & French Toast","3 slices of cinnamon raisin french toast.",13.25
505,"Oatmeal Waffle or Pancakes","Pancakes & French Toast","Your choice of a waffle or pancakes made with oatmeal batter.",14.25
506,"Banana Walnut or Banana Chocolate Chip Topping","Pancakes & French Toast","Your choice of Pancakes, Waffle or Challah French Toast topped with either Banana Walnut or Banana Chocolate Chips.",19.45
507,Giant Breakfast,"Pancakes & French Toast","Choice of waffle, pancakes or french toast, served with 2 eggs, bacon, ham & sausage.",22.45
508,Pancake a la Mode,"Pancakes & French Toast","Your choice of blueberries or chocolate chips, served with vanilla ice cream.",16.75
509,"Banana Nutella Topping","Pancakes & French Toast","Your choice of Waffle, Pancakes or French Toast with banana and nutella.",18.45
510,"Strawberries or Banana Nutella Topping","Pancakes & French Toast","Your choice of Waffle, Pancakes or French Toast with strawberries or banana and nutella.",18.45
511,French Toast Walnuts and Strawberries,"Pancakes & French Toast","French toast with walnuts and strawberries.",18.45
512,"Fried Chicken & Waffles","Steak & Eggs & Others","4 pcs fried chicken or chicken tenders with your choice of pancake or french toast.",23.45
513,"Steak & Eggs","Steak & Eggs & Others","Steak served with 3 eggs, home fries & toast.",29.45
514,"Chicken, Avocado & Eggs","Steak & Eggs & Others","2 pcs grilled chicken breast, served with two eggs over easy with chipotle hollandaise sauce & home fries.",24.45
515,Hangover Breakfast Steak,"Steak & Eggs & Others","Sliced steak, three scrambled eggs, covered with salsa verde, with sauteed corn tortillas, sour cream, cotija cheese & avocado.",29.45
516,Canadian Bacon Benedict,Eggs Benedict,"Poached eggs on English muffin with Canadian bacon and hollandaise sauce. Served with home fries, french fries or hash browns.",18.00
517,Florentine Benedict,Eggs Benedict,"Poached eggs on English muffin with spinach and hollandaise sauce. Served with home fries, french fries or hash browns.",18.00
518,Avocado Benedict,Eggs Benedict,"Poached eggs on English muffin with avocado and hollandaise sauce. Served with home fries, french fries or hash browns.",18.00
519,Eggs Norwegian,Eggs Benedict,"Poached eggs with nova lox on English muffin with hollandaise sauce. Served with home fries, french fries or hash browns.",20.25
520,Windsor Benedict,Eggs Benedict,"Homemade crab cakes topped with avocado, poached eggs & chipotle hollandaise sauce. Served with home fries, french fries or hash browns.",21.00
521,Terrace Benedict,Eggs Benedict,"Poached eggs on toasted English muffin, with smoked salmon, avocado & hollandaise sauce. Served with home fries, french fries or hash browns.",21.00
522,"Chorizo & Avocado Eggs Benedict",Eggs Benedict,"Poached eggs with homemade chorizo & avocado on a toasted English muffin with chipotle hollandaise sauce. Served with home fries, french fries or hash browns.",21.00
601,Fresh Fried Calamari,Appetizers,"",16.95
602,"Jalapeño Poppers (8)",Appetizers,"Served with marinara sauce.",13.50
603,Mexican Potato Skins,Appetizers,"Potato skins filled with chili, melted cheddar & jalapeños, served with sour cream.",14.00
604,Potato Skins,Appetizers,"Served with sour cream.",14.00
605,Combo Appetizer,Appetizers,"Chicken fingers, mozzarella sticks, jalapeño poppers & onion rings.",17.75
606,"Chicken Fingers (5 pieces)",Appetizers,"",14.75
607,"Mozzarella Sticks (8 pieces)",Appetizers,"",13.45
608,Breaded Zucchini Sticks,Appetizers,"",14.00
609,Chili Fries,Appetizers,"Fries topped with chili & melted cheddar cheese.",14.45
610,Disco Fries,Appetizers,"Fries with melted cheddar cheese & brown gravy.",13.45
611,"Chili con Carne (Bowl)",Appetizers,"Bowl of our homemade chili topped with onions & cheddar cheese.",13.95
612,"Chalupas Appetizer (4 tortillas)",Appetizers,"Fried corn tortilla with cotija cheese & red onions.",13.75
613,Tzatziki Dip,Appetizers,"Homemade tzatziki sauce served with (2) toasted pita bread.",13.75
614,"Alitas de Pollo (Chicken Wings)",Appetizers,"",14.95
615,Chicken Sandwich,Chicken Sandwiches,"Marinated grilled or breaded chicken breast on a brioche bun with lettuce, tomato, pickle & coleslaw.",15.45
616,Chicken Deluxe,Chicken Sandwiches,"Marinated grilled or breaded chicken breast on a brioche bun with steak fries, lettuce & tomato.",18.45
617,"Fried Chicken Fingers (4 pieces)",Chicken Sandwiches,"Served with french fries (no bun).",18.45
618,Avocado Chicken Deluxe,Chicken Sandwiches,"Grilled or breaded chicken topped with avocado, red onion, lettuce, tomato & steak fries.",20.45
619,"Chicken B.L.T. with Cheese Deluxe",Chicken Sandwiches,"Grilled or breaded chicken topped with bacon, lettuce, tomato, American cheese & steak fries.",20.75
620,El Padrino Deluxe,Chicken Sandwiches,"Grilled or breaded chicken topped with mozzarella cheese on a garlic roll with steak fries.",19.25
621,Chicken BBQ Deluxe,Chicken Sandwiches,"Grilled or breaded chicken with BBQ sauce, served with steak fries, lettuce & tomato.",19.00
622,Chicken Parmigiana Deluxe,Chicken Sandwiches,"Breaded chicken with marinara sauce and mozzarella cheese on a toasted roll, with steak fries, lettuce & tomato.",19.75
623,Jalapeño Chicken Deluxe,Chicken Sandwiches,"Grilled or breaded chicken topped with sautéed jalapeños, onions, and mushrooms, with steak fries, lettuce & tomato.",19.75
624,Patty Melt Marinated Grilled Chicken Deluxe,Chicken Sandwiches,"Marinated grilled chicken in a grilled cheese with fried onions on rye bread, with steak fries, lettuce & tomato.",19.75
625,Guacamole Chicken Deluxe,Chicken Sandwiches,"Grilled or breaded chicken served with fresh guacamole, lettuce, tomatoes & steak fries.",20.00
626,New York Marinated Grilled Chicken Deluxe,Chicken Sandwiches,"Grilled chicken topped with avocado, bacon, and mozzarella cheese, served with steak fries, lettuce & tomato.",20.75
627,Alpine Chicken Deluxe,Chicken Sandwiches,"Grilled or breaded chicken topped with sautéed mushroom, onions & swiss cheese, served with steak fries, lettuce & tomato.",20.25
628,Fresh Turkey Sandwich,Classic Sandwiches,"Homemade fresh turkey served with lettuce, tomato, coleslaw & pickle.",13.75
629,"Ham & Cheese Sandwich",Classic Sandwiches,"Served with lettuce, tomato, coleslaw & pickle.",13.25
630,Fresh Chicken Salad Sandwich,Classic Sandwiches,"Homemade chicken salad served with lettuce, tomato, coleslaw & pickle.",13.25
631,Fresh Egg Salad Sandwich,Classic Sandwiches,"Homemade egg salad served with lettuce, tomato, coleslaw & pickle.",11.25
632,"Fried Filet of Sole (2 pieces) Sandwich",Classic Sandwiches,"Served with lettuce, tomato, coleslaw & pickle.",15.45
633,Pastrami Sandwich,Classic Sandwiches,"Served with lettuce, tomato, coleslaw & pickle.",13.75
634,Fresh Tuna Salad Sandwich,Classic Sandwiches,"Homemade tuna salad served with lettuce, tomato, coleslaw & pickle.",13.45
635,Fresh Tuna Salad Mexican Style Sandwich,Classic Sandwiches,"Homemade tuna salad mixed with pico de gallo, served with lettuce, tomato, coleslaw & pickle.",13.75
636,B.L.T.,"B-L-T Sandwiches","Bacon, lettuce & tomato. Served with pickle and coleslaw.",11.45
637,"B.L.T. with American Cheese","B-L-T Sandwiches","Served with pickle and coleslaw.",12.45
638,"Turkey Bacon B.L.T.","B-L-T Sandwiches","Served with pickle and coleslaw.",12.45
639,Terrace B.L.T.,"B-L-T Sandwiches","Bacon, lettuce & tomato with avocado on toast. Served with pickle and coleslaw.",13.45
701,Grilled Cheese,"Grilled Cheese Sandwiches","Served on your choice of bread.",8.75
702,BBQ Pulled Pork Sandwich,"Something New Sandwiches","BBQ pulled pork with avocado, chipotle mayo on a roll & steak fries.",19.00
703,Sliced Steak Sandwich,"Something New Sandwiches","Fried onions & avocado on a roll, served with steak fries.",22.25
704,Chipotle Fried Fish Sandwich,"Something New Sandwiches","Avocado, lettuce, tomato in chipotle tartar sauce on a brioche bun served with steak fries.",19.00
705,Gyro Sandwich,"Something New Sandwiches","Served on a pita with onions, peppers, cucumbers, tomatoes & tzatziki sauce, served with steak fries.",18.45
706,Grecian Chicken Pita,"Something New Sandwiches","Marinated grilled chicken on a pita bread served with greek salad, tzatziki sauce & steak fries.",19.75
707,"Chicken or Pork Souvlaki","Something New Sandwiches","Marinated grilled chicken or pork on a pita with onions, peppers, cucumbers, tomatoes & tzatziki sauce served with steak fries.",19.25
708,Tuna Melt Sandwich,"Something New Sandwiches","Tuna salad topped with American cheese on a toasted bagel.",16.00
709,Philly Cheese Steak Sandwich,"Something New Sandwiches","Thinly sliced steak, grilled with onions, peppers & cheese on a hero, served with steak fries, coleslaw & pickle.",20.00
710,Reuben Sandwich,"Something New Sandwiches","Pastrami on rye with sauerkraut & swiss served with potato salad or steak fries.",19.45
711,"Fish & Chips 2 Pieces Sandwich","Something New Sandwiches","Fried filet of sole served on a brioche bun with lettuce, tomatoes & steak fries.",19.45
712,Vegan Burrito Bowl,Vegan,"Sautéed mix vegetables, rice, beans, guacamole, pico de gallo, salsa verde & tortillas.",19.00
713,Vegan Burrito,Vegan,"Sauteed mixed vegetables, rice, black beans, pico de gallo & salsa verde. Served with mesclun salad.",19.00
714,Vegan Nachos,Vegan,"Fried corn tortilla chips, sauteed mixed vegetables, black beans, guacamole & pico de gallo.",19.00
715,Vegan Salad,Vegan,"Mesclun salad with mixed veggies topped with sweet corn, avocado & sauteed mushroom.",19.00
716,Vegan Veggie Burger,Vegan,"Vegetarian burger on multigrain bread with sauteed spinach, mushrooms, onions & peppers. Served with mixed greens salad.",19.00
717,Vegan Fajitas,Vegan,"Sauteed mixed vegetables & grilled tomatoes served with guacamole & tortillas.",24.00
718,Vegan Wrap,Vegan,"Grilled potatoes, avocado, romaine lettuce & pico de gallo on whole wheat flour tortilla. Served with mixed greens salad.",18.00
719,Vegan Baked Potato,Vegan,"Sautéed broccoli, spinach, mushroom & corn.",15.75
720,Hot Dog,Hot Dogs,"Served with steak fries.",12.45
721,"2 Chili Hot Dogs",Hot Dogs,"2 Hot dogs topped with chili and cheese, served with steak fries.",17.45
722,Fresh Turkey Triple Decker,Triple Deckers,"Bacon, lettuce, tomatoes & mayonnaise. Served with Steak Fries, Coleslaw & Pickle.",18.45
723,Grilled Chicken Breast Triple Decker,Triple Deckers,"Bacon, lettuce, tomato & mayonnaise. Served with Steak Fries, Coleslaw & Pickle.",20.45
801,Beef Burger,Burgers,"Fresh ground beef burger on a brioche bun.",12.95
802,Turkey Burger,Burgers,"Homemade marinated turkey burger on a brioche bun.",12.95
803,Veggie Burger,Burgers,"Veggie burger on a brioche bun.",12.95
804,Terrace Burger,Burgers,"On a toasted english muffin, topped with bacon & fried onions.",15.75
805,Terrace Cheese Burger,Burgers,"On a toasted english muffin, topped with bacon, american cheese & sautéed onions.",16.75
806,Classic New York Burger,Burgers,"Topped with bacon & american cheese.",15.95
807,New York Burger,Burgers,"Topped with american cheese, lettuce & tomato.",15.95
808,Prospect Burger,Burgers,"Topped with sauteed mushrooms & american cheese.",16.25
809,Prospect Park Burger,Burgers,"Topped with sautéed mushrooms, sautéed onions & american cheese.",16.25
810,Prospect Park West Burger,Burgers,"Topped with bacon, american cheese, sautéed onions & sautéed mushrooms.",17.75
811,Windsor Burger,Burgers,"Topped with bacon, american cheese, with fried onions & sliced ham.",16.75
812,Western Burger,Burgers,"Topped with sauteed peppers & onions, ham & cheddar cheese.",16.75
813,Alpine Burger,Burgers,"Topped with sauteed mushrooms, onions & swiss cheese.",15.95
814,Jalapeño Burger,Burgers,"Topped with fresh sautéed jalapeños, onion & sauteed mushrooms.",15.45
815,Jalapeño American Cheese Burger,Burgers,"Topped with fresh sautéed jalapeños, mushrooms, sauteed onions & american cheese.",16.45
816,Greenwood Burger,Burgers,"Topped with avocado, turkey bacon & cheddar cheese.",15.95
817,Avocado Burger,Burgers,"Topped with avocado, romaine lettuce, tomato & red onions.",15.95
818,Patty Melt Burger,Burgers,"Served on a grilled cheese topped with fried onions on rye bread.",15.45
819,Chipotle Burger,Burgers,"Topped with sauteed mushroom, onions & chipotle sauce.",16.25
820,Guacamole Burger,Burgers,"Topped with fresh guacamole & corn tortilla chips, served with lettuce & tomato.",16.45
821,Pizza Burger,Burgers,"Topped with mozzarella cheese & marinara sauce.",14.95
822,BBQ Pulled Pork Burger,Burgers,"Topped with BBQ pulled pork.",16.75
823,Philly Burger,Burgers,"Topped with sautéed peppers, onions & american cheese.",15.45
824,Mexican Burger,Burgers,"Topped with avocado & fresh jalapeños.",15.95
825,BBQ Burger,Burgers,"Topped with BBQ sauce.",13.95
901,Tuna Wrap,Wraps,"Fresh tuna salad, romaine lettuce, sliced egg & american cheese, served with steak fries.",19.25
902,Turkey Wrap,Wraps,"Fresh turkey, swiss, honey mustard & tomatoes, served with steak fries.",19.25
903,Roast Beef Wrap,Wraps,"Hot roast beef, fried onions, cheddar cheese & mayo, served with steak fries.",19.25
904,Pesto Chicken Wrap,Wraps,"Marinated grilled chicken, romaine lettuce, pesto sauce & mozzarella cheese, served with steak fries.",19.25
905,Chicken Fajita Wrap,Wraps,"Marinated grilled chicken, pepper, onions, fresh guacamole & sour cream, served with steak fries.",19.25
906,Italian Wrap,Wraps,"Marinated grilled chicken, red pepper, mushroom & mozzarella cheese, served with steak fries.",19.25
907,Chicken Caesar Wrap,Wraps,"Marinated grilled chicken, romaine lettuce, caesar dressing & mozzarella cheese, served with steak fries.",19.25
908,Chicken Parmigian Wrap,Wraps,"Breaded chicken, mozzarella cheese & marinara sauce, served with steak fries.",19.25
909,Egg Salad Wrap,Wraps,"Fresh chopped egg, crispy bacon, romaine lettuce & american cheese, served with steak fries.",17.25
910,Reuben Wrap,Wraps,"Thin lean pastrami, melted swiss, sauerkraut & russian dressing, served with steak fries.",19.25
911,Grecian Wrap,Wraps,"Marinated grilled chicken, tomatoes, onions, cucumbers, romaine lettuce & tzatziki sauce, served with steak fries.",19.25
912,Avocado Chicken Wrap,Wraps,"Marinated grilled chicken, avocado, romaine lettuce, red onions & grilled potatoes, served with steak fries.",19.25
913,Terrace Wrap,Wraps,"Marinated grilled chicken, avocado, bacon, romaine lettuce & tomato, served with steak fries.",19.25
914,Mexican Chicken Wrap,Wraps,"Marinated grilled chicken, black beans, avocado, jalapeño, cheddar & tomato, served with steak fries.",19.25
915,Breaded Chicken Wrap,Wraps,"Breaded chicken, avocado, chipotle mayo, mozzarella cheese, bacon, lettuce & tomato, served with steak fries.",19.25
